('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Frontier Airlines', '2020-10-05T12:43', '2020-10-05T21:23', '520', '1504', '200', 'F9 1556', 'E-190', '487', '28', '3'), 
('Lufthansa', '2020-05-05T11:17', '2020-05-06T14:46', '1649', '9047', '200', 'LH 607', 'E-195', '176', '15', '27'), 
('SAS', '2020-04-02T05:30', '2020-04-02T15:55', '625', '5587', '300', 'SA 1048', 'A300', '599', '5', '27'), 
('Alaska Airlines', '2020-09-27T01:11', '2020-09-27T09:45', '514', '9853', '300', 'AS 310', 'Millennium Falcon', '248', '14', '20'), 
('Frontier Airlines', '2020-02-09T00:08', '2020-02-09T06:36', '388', '8182', '300', 'F9 562', 'A350', '69', '20', '13'), 
('Air Canada', '2020-03-09T11:36', '2020-03-09T20:43', '547', '6660', '500', 'AC 871', 'CRJ700', '404', '12', '4'), 
('Alaska Airlines', '2020-08-07T09:38', '2020-08-08T08:40', '1382', '2923', '500', 'AS 778', 'A318', '593', '26', '4'), 
('Lufthansa', '2020-04-08T20:39', '2020-04-09T08:38', '719', '1369', '300', 'LH 520', 'A321', '541', '23', '19'), 
('JetBlue Airways', '2020-02-20T20:02', '2020-02-20T22:51', '169', '4140', '300', 'B6 462', 'A340', '64', '14', '7'), 
('Frontier Airlines', '2020-09-14T04:12', '2020-09-14T13:39', '567', '639', '500', 'F9 1365', 'E-190', '123', '16', '26'), 
('Lufthansa', '2020-06-21T15:32', '2020-06-21T18:10', '158', '5110', '500', 'LH 889', 'E-190', '590', '24', '6'), 
('Delta Air Lines', '2020-07-15T12:30', '2020-07-15T20:48', '498', '3544', '500', 'DL 1449', 'A321', '332', '0', '26'), 
('Air Canada', '2020-02-25T08:37', '2020-02-25T12:23', '226', '7187', '300', 'AC 1404', 'Boeing 737', '184', '6', '21'), 
('JetBlue Airways', '2020-09-30T13:03', '2020-09-30T17:13', '250', '8221', '1000', 'B6 185', 'A380', '509', '12', '22'), 
('Finnair', '2020-05-21T19:16', '2020-05-22T00:01', '285', '6924', '500', 'FA 1216', 'CRJ705', '141', '10', '20'), 
('Lufthansa', '2020-09-28T22:56', '2020-09-28T24:04', '68', '9765', '200', 'LH 627', 'Boeing 777', '222', '1', '20'), 
('JetBlue Airways', '2020-06-26T11:08', '2020-06-26T21:12', '604', '4759', '300', 'B6 914', 'Boeing 787', '246', '11', '7'), 
('SAS', '2020-08-23T19:58', '2020-08-24T02:51', '413', '6306', '500', 'SA 590', 'A318', '574', '25', '19'), 
('Finnair', '2020-09-25T23:19', '2020-09-25T25:10', '111', '865', '300', 'FA 1945', 'E-195', '459', '8', '15'), 
('British Airways', '2020-02-24T00:57', '2020-02-25T10:43', '2026', '2648', '200', 'BA 550', 'Millennium Falcon', '61', '4', '28'), 
('Alaska Airlines', '2020-03-24T03:28', '2020-03-25T03:47', '1459', '2994', '500', 'AS 1831', 'A220', '472', '23', '19'), 
('British Airways', '2020-01-13T12:03', '2020-01-14T12:36', '1473', '9136', '300', 'BA 1777', 'E-175', '521', '20', '24'), 
('Finnair', '2020-06-30T14:22', '2020-06-30T17:54', '212', '1460', '300', 'FA 1655', 'A380', '378', '23', '7'), 
('Delta Air Lines', '2020-06-24T20:16', '2020-06-24T22:40', '144', '3140', '500', 'DL 1427', 'CRJ700', '190', '15', '18'), 
('Frontier Airlines', '2020-04-21T05:04', '2020-04-21T15:48', '644', '5197', '200', 'F9 1920', 'A220', '490', '13', '7'), 
('Finnair', '2020-04-16T04:24', '2020-04-17T11:28', '1864', '1107', '500', 'FA 1758', 'E-175', '343', '25', '2'), 
('British Airways', '2020-11-21T02:24', '2020-11-22T04:45', '1581', '7669', '200', 'BA 1972', 'CRJ900', '331', '23', '1'), 
('Lufthansa', '2020-03-05T09:27', '2020-03-06T12:27', '1620', '8313', '300', 'LH 1358', 'CRJ1000', '532', '1', '23'), 
('Lufthansa', '2020-02-21T18:29', '2020-02-22T01:20', '411', '2322', '500', 'LH 810', 'Boeing 767', '391', '18', '6'), 
('Norwegian', '2020-11-02T01:04', '2020-11-03T14:20', '2236', '831', '500', 'NW 1255', 'A380', '273', '5', '26'), 
('British Airways', '2020-10-10T15:01', '2020-10-10T21:24', '383', '1033', '500', 'BA 1104', 'A350', '234', '20', '12'), 
('Finnair', '2020-07-09T08:35', '2020-07-09T10:25', '110', '2261', '300', 'FA 988', 'E-170', '458', '6', '22'), 
('JetBlue Airways', '2020-12-11T03:41', '2020-12-12T03:06', '1405', '7567', '500', 'B6 1507', 'CRJ900', '549', '19', '12'), 
('Norwegian', '2020-02-04T16:37', '2020-02-04T20:43', '246', '1715', '300', 'NW 118', 'CRJ705', '185', '21', '5'), 
('Finnair', '2020-09-15T21:25', '2020-09-16T23:50', '1585', '2400', '500', 'FA 770', 'A319', '510', '18', '8'), 
('Finnair', '2020-03-14T09:06', '2020-03-14T11:23', '137', '8715', '200', 'FA 826', 'CRJ700', '98', '21', '19'), 
('Lufthansa', '2020-09-02T21:32', '2020-09-02T23:33', '121', '4030', '500', 'LH 1119', 'CRJ1000', '480', '10', '18'), 
('Frontier Airlines', '2020-09-18T07:01', '2020-09-19T13:37', '1836', '8083', '500', 'F9 1843', 'A300', '356', '28', '15'), 
('Frontier Airlines', '2020-09-12T11:14', '2020-09-12T14:50', '216', '2266', '200', 'F9 1628', 'Boeing 777', '77', '1', '24'), 
('Air Canada', '2020-08-04T00:48', '2020-08-04T22:46', '1318', '8902', '300', 'AC 888', 'Boeing 767', '525', '2', '1'), 
('Norwegian', '2020-03-16T16:38', '2020-03-17T09:41', '1023', '6085', '500', 'NW 1842', 'Boeing 747', '483', '15', '16'), 
('Air Canada', '2020-05-24T03:39', '2020-05-25T20:37', '2458', '9598', '300', 'AC 1392', 'Millennium Falcon', '559', '15', '28'), 
('Alaska Airlines', '2020-05-25T05:54', '2020-05-26T07:42', '1548', '4286', '200', 'AS 597', 'A350', '130', '0', '14'), 
('Finnair', '2020-05-12T11:25', '2020-05-12T17:36', '371', '5653', '500', 'FA 297', 'A330', '444', '26', '5'), 
('Delta Air Lines', '2020-06-13T00:41', '2020-06-14T08:17', '1896', '4321', '500', 'DL 1985', 'A320', '364', '4', '18'), 
('Alaska Airlines', '2020-07-28T12:57', '2020-07-29T07:48', '1131', '5430', '500', 'AS 1671', 'A319', '420', '21', '15'), 
('Air Canada', '2020-01-21T20:32', '2020-01-21T23:37', '185', '893', '200', 'AC 990', 'E-190', '460', '3', '5'), 
('SAS', '2020-05-26T06:21', '2020-05-27T04:55', '1354', '7895', '300', 'SA 1346', 'E-195', '260', '15', '4'), 
('British Airways', '2020-12-03T20:33', '2020-12-03T22:35', '122', '1658', '1000', 'BA 1207', 'Boeing 767', '401', '1', '28'), 
('Finnair', '2020-01-09T07:38', '2020-01-09T17:47', '609', '2676', '500', 'FA 1364', 'E-175', '525', '27', '11'), 
('Air Canada', '2020-10-05T04:36', '2020-10-06T18:47', '2291', '4955', '300', 'AC 1520', 'CRJ705', '96', '11', '27'), 
('Alaska Airlines', '2020-03-13T04:56', '2020-03-14T18:41', '2265', '9845', '500', 'AS 437', 'SR-71 Blackbird', '404', '13', '27'), 
('Norwegian', '2020-04-20T23:37', '2020-04-21T00:49', '72', '9922', '300', 'NW 1379', 'A340', '598', '6', '11'), 
('SAS', '2020-03-10T00:57', '2020-03-11T14:38', '2261', '6486', '500', 'SA 168', 'E-175', '363', '4', '22'), 
('Lufthansa', '2020-01-10T05:33', '2020-01-11T16:38', '2105', '8639', '300', 'LH 1195', 'CRJ1000', '500', '24', '14'), 
('American Airlines', '2020-12-13T11:42', '2020-12-13T16:49', '307', '2156', '1000', 'AA 1770', 'Millennium Falcon', '513', '2', '3'), 
('Lufthansa', '2020-07-01T05:06', '2020-07-01T10:20', '314', '6110', '1000', 'LH 1583', 'A310', '284', '2', '15'), 
('Frontier Airlines', '2020-09-18T09:17', '2020-09-18T16:36', '439', '7343', '200', 'F9 1564', 'A220', '591', '19', '13'), 
('WOW Air', '2020-12-25T04:15', '2020-12-26T16:10', '2155', '9490', '200', 'WA 1760', 'SR-71 Blackbird', '481', '20', '12'), 
('British Airways', '2020-08-28T14:00', '2020-08-28T21:54', '474', '8882', '300', 'BA 1649', 'E-170', '339', '12', '27'), 
('Air Canada', '2020-09-20T13:10', '2020-09-21T17:51', '1721', '8166', '500', 'AC 503', 'SR-71 Blackbird', '488', '1', '15'), 
('Alaska Airlines', '2020-07-03T07:53', '2020-07-03T20:06', '733', '9347', '500', 'AS 1904', 'A350', '447', '4', '12'), 
('Air Canada', '2020-03-19T10:09', '2020-03-19T14:10', '241', '4532', '300', 'AC 316', 'SR-71 Blackbird', '218', '15', '1'), 
('Alaska Airlines', '2020-03-20T10:23', '2020-03-21T09:45', '1402', '1468', '500', 'AS 1676', 'CRJ1000', '591', '6', '23'), 
('Finnair', '2020-04-26T04:48', '2020-04-27T01:15', '1227', '1428', '200', 'FA 1118', 'A220', '573', '16', '17'), 
('Alaska Airlines', '2020-02-18T13:18', '2020-02-18T20:29', '431', '4999', '500', 'AS 1066', 'E-170', '213', '16', '6'), 
('Alaska Airlines', '2020-03-24T15:43', '2020-03-24T19:25', '222', '9428', '200', 'AS 103', 'A310', '236', '4', '7'), 
('Delta Air Lines', '2020-09-29T14:35', '2020-09-30T14:25', '1430', '4469', '300', 'DL 1732', 'SR-71 Blackbird', '132', '12', '2'), 
('Frontier Airlines', '2020-02-24T20:37', '2020-02-24T23:49', '192', '593', '300', 'F9 209', 'Boeing 777', '248', '5', '27'), 
('JetBlue Airways', '2020-10-01T05:35', '2020-10-01T15:23', '588', '7240', '300', 'B6 173', 'A319', '138', '7', '8'), 
('JetBlue Airways', '2020-06-14T14:06', '2020-06-15T09:51', '1185', '4798', '1000', 'B6 646', 'A340', '523', '0', '10'), 
('Air Canada', '2020-11-24T10:11', '2020-11-24T16:10', '359', '8534', '500', 'AC 869', 'A310', '589', '23', '28'), 
('Alaska Airlines', '2020-06-21T12:42', '2020-06-22T01:07', '745', '1196', '500', 'AS 1173', 'SR-71 Blackbird', '502', '18', '16'), 
('British Airways', '2020-06-09T16:15', '2020-06-10T05:34', '799', '3842', '500', 'BA 1381', 'Boeing 777', '303', '23', '8'), 
('WOW Air', '2020-11-04T22:14', '2020-11-05T14:57', '1003', '3243', '300', 'WA 1329', 'A340', '537', '22', '23'), 
('WOW Air', '2020-08-04T06:41', '2020-08-04T15:12', '511', '8204', '200', 'WA 1006', 'Boeing 787', '136', '28', '20'), 
('American Airlines', '2020-05-11T01:28', '2020-05-12T08:17', '1849', '1239', '300', 'AA 1349', 'A310', '280', '27', '17'), 
('Delta Air Lines', '2020-09-16T22:02', '2020-09-16T24:35', '153', '5758', '300', 'DL 232', 'SR-71 Blackbird', '94', '9', '14'), 
('SAS', '2020-11-07T14:50', '2020-11-08T04:18', '808', '4960', '500', 'SA 941', 'Boeing 747', '106', '28', '0'), 
('SAS', '2020-02-07T12:50', '2020-02-07T17:13', '263', '6070', '200', 'SA 1672', 'E-190', '596', '14', '8'), 
('WOW Air', '2020-02-17T21:38', '2020-02-18T15:29', '1071', '5354', '1000', 'WA 423', 'CRJ700', '465', '0', '16');
